morpheme,nb,type,function,position,transitivity,nature,plural,antipassive,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,engMean,freMean,condPrec,condPrecTrans,condOnNext,sources,combination,dialect,mobility
&&apik,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"implies frustration or annoyance, because of embarassment, inconvenience or awkwardness to one's position or plans: 'damn it!'","implique de la frustration ou de la contrari�t� � cause d'un embarras, d'un d�sagr�ment ou d'un d�rangement � ses plans",,,,A1,,,m
&&aq,1,sv,vv,m,n,,,,,n,,,s,,,s,,,s,,"implies frustration or annoyance, because of embarassment, inconvenience or awkwardness to one's position or plans: 'damn it!'","implique de la frustration ou de la contrari�t� � cause d'un embarras, d'un d�sagr�ment ou d'un d�rangement � ses plans",,,,A1,,,m
&aq,1,sv,vv,m,i,,,,,n,,-,-,,-,-,,-,-,,identification,identification,id:u/1nv,,mode:caus,H1,,,m
&iq,1,sn,nn,t,,,,,lliq,n,,* lliq,n s,,* lliq,n s,,* lliq,n s,,"superlativeness, highest degree, the most of all","superlatif, le plus haut degr�, le plus ... de tous",,,,H1,,,m
a,1,sv,vv,m,t,,,ksi/1vv ri/1vv gi/4vv,aq,n,,* aq,s,,* aq,s,,* aq,s,,"action done several times, or continuously, or on several objects, or by several subjects; also, with transitive verbs with perfect sense: renders the action at the present time","action effectu�e plusieurs fois, ou de fa�on continue, ou sur plusieurs objets, ou par plusieurs sujets; avec verbes transitifs avec sens parfait: indique le temps pr�sent",type:v,,,H1,,,m
ajak,1,sn,nv,m,i,,,,,n,,,s,,,s,,,s,,to take many (animals),attraper beaucoup d'animaux,,,,A1,,,m
allak,1,sv,vv,m,n,,,,ala,n,i(ra),* ala,s,i(ra),* ala,s,i(ra),* ala,s,i(ra),"ease, simpleness of action; 'easily'; 'just'","action facile, simple; 'facilement'; 'juste'",,,,H1 A1,,,m
aluk,1,sn,nn,t,,,,,aaluk,n n,i(ra) i(ra),* * aaluk,s i(i) s,i(ra) - i(ra),* aaluk,s s,i(ra) i(ra),* aaluk,s s,i(ra) i(ra),"largeness; impressiveness; 'large'; exaggeration, aggrandizement of action (with gerundive): 'a lot', 'a great deal'",large; impressionnant; exag�ration de l'action (avec g�rondif): 'beaucoup',,,,H1,,,m
anik,1,sv,vv,m,n,,,,,n,i(ra),,s,i(ra),,s,i(ra),,s,i(ra),action already done; 'already' (Aivilik),action d�j� accomplie; 'd�j�' (Aivilik),,,,A1,,Aivilik,m
annuk,1,sn,nn,t,,,,,,n,i(r),,s,,,s,,,s,,"diminutiveness; 'small'; 'sweet, beautiful little'","diminutif; 'cher, beau petit'",,,,H1,,,m
